종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
114450,그린생명과학,KOSDAQ,제약,1675,14,0.84,33500000000
186230,그린플러스,KOSDAQ,금속,7460,-320,-4.11,80718602480
900070,글로벌에스엠,KOSDAQ,금융,376,5,1.35,20207731968
204620,글로벌텍스프리,KOSDAQ,금융,4355,0,0.00,306083902150
019660,글로본,KOSDAQ,유통,1245,30,2.47,43314478770
053260,금강철강,KOSDAQ,금속,4120,-60,-1.44,77126400000
282720,금양그린파워,KOSDAQ,건설,8700,-20,-0.23,105439650000
036190,금화피에스시,KOSDAQ,건설,25350,250,1.00,152100000000
049080,기가레인,KOSDAQ,전기·전자,498,-6,-1.19,42271906806
420770,기가비스,KOSDAQ,기계·장비,29500,750,2.61,373934861000
035460,기산텔레콤,KOSDAQ,전기·전자,2000,12,0.60,29154680000
308100,까스텔바작,KOSDAQ,유통,2700,-45,-1.64,17886779100
407400,꿈비,KOSDAQ,기타제조,8420,420,5.25,104365479000
187790,나노,KOSDAQ,화학,1025,0,0.00,31611850750
286750,나노브릭,KOSDAQ,화학,2510,5,0.20,53999033090
121600,나노신소재,KOSDAQ,화학,70100,1300,1.89,854945067800
247660,나노씨엠에스,KOSDAQ,전기·전자,5850,-50,-0.85,25411932000
039860,나노엔텍,KOSDAQ,의료·정밀기기,3450,15,0.44,110779782900
091970,나노캠텍,KOSDAQ,화학,534,1,0.19,19980941262
417010,나노팀,KOSDAQ,기계·장비,7000,200,2.94,138070296000
405920,나라셀라,KOSDAQ,유통,2730,150,5.81,35157147480
051490,나라엠앤디,KOSDAQ,기계·장비,4115,30,0.73,58433000000
137080,나래나노텍,KOSDAQ,기계·장비,3090,45,1.48,34173613980
190510,나무가,KOSDAQ,전기·전자,12410,10,0.08,192029820770
242040,나무기술,KOSDAQ,IT 서비스,1358,-8,-0.59,46995306512
089600,나스미디어,KOSDAQ,일반서비스,14540,-40,-0.27,168201090020
293580,나우IB,KOSDAQ,금융,1128,12,1.08,107080983600
138610,나이벡,KOSDAQ,제약,14510,250,1.75,158059127670
130580,나이스디앤비,KOSDAQ,일반서비스,4730,105,2.27,72842000000
036800,나이스정보통신,KOSDAQ,통신,17540,150,0.86,175400000000
267320,나인테크,KOSDAQ,기계·장비,3115,55,1.80,138072032350
111710,남화산업,KOSDAQ,오락·문화,5020,0,0.00,103351760000
091590,남화토건,KOSDAQ,건설,3890,25,0.65,45668600000
168330,내츄럴엔도텍,KOSDAQ,일반서비스,1398,-1,-0.07,44393350200
094860,네오리진,KOSDAQ,IT 서비스,968,56,6.14,20714782792
253590,네오셈,KOSDAQ,기계·장비,11030,230,2.13,483876878920
212560,네오오토,KOSDAQ,운송장비·부품,8250,70,0.86,64968444750
095660,네오위즈,KOSDAQ,IT 서비스,20800,0,0.00,454621772800
042420,네오위즈홀딩스,KOSDAQ,IT 서비스,18090,790,4.57,155462674140
950220,네오이뮨텍,KOSDAQ,일반서비스,1081,19,1.79,106875729665
311390,네오크레마,KOSDAQ,음식료·담배,7190,190,2.71,90980742910
085910,네오티스,KOSDAQ,운송장비·부품,3035,10,0.33,42292172630
092730,네오팜,KOSDAQ,화학,11790,190,1.64,188969990310
290660,네오펙트,KOSDAQ,의료·정밀기기,787,10,1.29,36266061013
306620,네온테크,KOSDAQ,기계·장비,2450,25,1.03,106486483950
153460,네이블,KOSDAQ,IT 서비스,7100,300,4.41,46363099400
007390,네이처셀,KOSDAQ,제약,15770,190,1.22,1014912350120
033640,네패스,KOSDAQ,전기·전자,7250,300,4.32,167179214500
330860,네패스아크,KOSDAQ,일반서비스,12150,460,3.93,148036146750
089140,넥스턴바이오,KOSDAQ,기계·장비,2435,-15,-0.61,30525756575
389650,넥스트바이오메디컬,KOSDAQ,의료·정밀기기,45600,1400,3.17,368821281600
137940,넥스트아이,KOSDAQ,의료·정밀기기,422,2,0.48,33051458624
396270,넥스트칩,KOSDAQ,전기·전자,8240,80,0.98,149052865600
348210,넥스틴,KOSDAQ,기계·장비,57200,6200,12.16,598154700000
225570,넥슨게임즈,KOSDAQ,IT 서비스,12220,210,1.75,804811326280
205500,넥써쓰,KOSDAQ,IT 서비스,2945,90,3.15,171451123555
217270,넵튠,KOSDAQ,IT 서비스,7560,-150,-1.95,352871694000
104620,노랑풍선,KOSDAQ,일반서비스,4830,-10,-0.21,76517468580
473980,노머스,KOSDAQ,오락·문화,19990,-610,-2.96,217243663830
194700,노바렉스,KOSDAQ,음식료·담배,8750,100,1.16,164104920000
285490,노바텍,KOSDAQ,기타제조,15540,700,4.72,164348413740
145170,노브랜드,KOSDAQ,섬유·의류,6520,-70,-1.06,110242800600
106520,노블엠앤비,KOSDAQ,의료·정밀기기,411,0,0.00,15904036272
376930,노을,KOSDAQ,의료·정밀기기,2550,40,1.59,94215003000
142280,녹십자엠에스,KOSDAQ,제약,3965,105,2.72,86206736590
234690,녹십자웰빙,KOSDAQ,제약,8700,230,2.72,154444801200
054050,농우바이오,KOSDAQ,농업, 임업 및 어업,7460,20,0.27,119587985060
069140,누리플랜,KOSDAQ,금속,1322,7,0.53,17321826246
040160,누리플렉스,KOSDAQ,IT 서비스,2610,-25,-0.95,31464946350
332290,누보,KOSDAQ,화학,1005,-1,-0.10,33551727015
348340,뉴로메카,KOSDAQ,기계·장비,29400,-500,-1.67,327846720600
060260,뉴보텍,KOSDAQ,화학,1126,-9,-0.79,15214522134
123840,뉴온,KOSDAQ,기계·장비,1110,-52,-4.48,41241280770
012340,뉴인텍,KOSDAQ,운송장비·부품,494,-1,-0.20,25148138028
270870,뉴트리,KOSDAQ,음식료·담배,5620,50,0.90,51705258880
144960,뉴파워프라즈마,KOSDAQ,기계·장비,4920,115,2.39,214967710080
085670,뉴프렉스,KOSDAQ,전기·전자,4785,5,0.10,116996891385
064260,다날,KOSDAQ,IT 서비스,2890,-20,-0.69,199262725600
340360,다보링크,KOSDAQ,전기·전자,1353,-139,-9.32,59466932877
039560,다산네트웍스,KOSDAQ,전기·전자,3485,15,0.43,138054723785
154040,다산솔루에타,KOSDAQ,전기·전자,1014,9,0.90,18201395316
032190,다우데이타,KOSDAQ,유통,10840,-10,-0.09,415172000000
323350,다원넥스뷰,KOSDAQ,의료·정밀기기,6470,-20,-0.31,51829694840
068240,다원시스,KOSDAQ,전기·전자,10000,190,1.94,381634370000
464580,닷밀,KOSDAQ,오락·문화,5810,100,1.75,53149577880
020400,대동금속,KOSDAQ,금속,6860,80,1.18,21877678760
008830,대동기어,KOSDAQ,기계·장비,22100,-450,-2.00,198624192000
048470,대동스틸,KOSDAQ,유통,4900,620,14.49,49000000000
004780,대륙제관,KOSDAQ,금속,3800,0,0.00,60432156200
017650,대림제지,KOSDAQ,종이·목재,6550,160,2.50,58950000000
007720,대명소노시즌,KOSDAQ,유통,904,-2,-0.22,91123606800
389260,대명에너지,KOSDAQ,건설,12260,190,1.57,209033000000
317850,대모,KOSDAQ,기계·장비,9080,-10,-0.11,75585733600
290670,대보마그네틱,KOSDAQ,전기·전자,12260,90,0.74,96334911600
078140,대봉엘에스,KOSDAQ,제약,16300,-270,-1.63,180711237700
065150,대산F&B,KOSDAQ,유통,145,0,0.00,23110448725
036480,대성미생물,KOSDAQ,제약,9230,430,4.89,35074000000
027830,대성창투,KOSDAQ,금융,1824,69,3.93,98496000000
104040,대성파인텍,KOSDAQ,운송장비·부품,817,1,0.12,38582814379
129920,대성하이텍,KOSDAQ,기계·장비,3730,50,1.36,51157147690
442310,대신밸런스제14호스팩,KOSDAQ,금융,2125,-5,-0.23,14258750000
457390,대신밸런스제15호스팩,KOSDAQ,금융,2730,30,1.11,19205550000
457630,대신밸런스제16호스팩,KOSDAQ,금융,2095,0,0.00,15314450000
471050,대신밸런스제17호스팩,KOSDAQ,금융,2110,-10,-0.47,12786600000
478780,대신밸런스제18호스팩,KOSDAQ,금융,2080,5,0.24,16452800000
482690,대신밸런스제19호스팩,KOSDAQ,금융,2045,0,0.00,11482675000
020180,대신정보통신,KOSDAQ,IT 서비스,1095,3,0.27,42079661925
045390,대아티아이,KOSDAQ,전기·전자,3250,80,2.52,229038475250
108380,대양전기공업,KOSDAQ,운송장비·부품,18510,-230,-1.23,177091333830
007680,대원,KOSDAQ,건설,4035,-35,-0.86,54256522590
048910,대원미디어,KOSDAQ,유통,10110,-190,-1.84,127173144060
005710,대원산업,KOSDAQ,운송장비·부품,7340,-20,-0.27,147075984000
290380,대유,KOSDAQ,화학,2300,0,0.00,56841307600
120240,대정화금,KOSDAQ,화학,12870,-10,-0.08,92540332170
003310,대주산업,KOSDAQ,음식료·담배,1729,24,1.41,61193373150
078600,대주전자재료,KOSDAQ,전기·전자,98800,-300,-0.30,1529482588400
393970,대진첨단소재,KOSDAQ,화학,13190,30,0.23,195170055800
096350,대창솔루션,KOSDAQ,금속,336,-4,-1.18,55023699024
140520,대창스틸,KOSDAQ,금속,2080,-5,-0.24,43907225440
131220,대한과학,KOSDAQ,유통,4300,20,0.47,32054307000
010170,대한광통신,KOSDAQ,전기·전자,620,19,3.16,67896922920
054670,대한뉴팜,KOSDAQ,제약,7100,40,0.57,101919932000
023910,대한약품,KOSDAQ,제약,25250,100,0.40,151500000000
021040,대호특수강,KOSDAQ,금속,903,2,0.22,19599410922
021045,대호특수강우,KOSDAQ,금속,2675,-5,-0.19,2269716100
067080,대화제약,KOSDAQ,제약,14800,-70,-0.47,275526420000
298540,더네이쳐홀딩스,KOSDAQ,섬유·의류,9100,30,0.33,134369289600
032860,더라미,KOSDAQ,일반서비스,1300,10,0.78,52514621900
393890,더블유씨피,KOSDAQ,전기·전자,8800,-10,-0.11,297819667200
299170,더블유에스아이,KOSDAQ,유통,1740,28,1.64,52248655620
224060,더코디,KOSDAQ,기계·장비,3015,-60,-1.95,15559576830
043090,더테크놀로지,KOSDAQ,유통,469,-47,-9.11,5824170975
213420,덕산네오룩스,KOSDAQ,전기·전자,28800,-500,-1.71,715137955200
317330,덕산테코피아,KOSDAQ,화학,25250,-850,-3.26,517033746000
077360,덕산하이메탈,KOSDAQ,전기·전자,4180,175,4.37,189926668360
090410,덕신이피씨,KOSDAQ,금속,1512,23,1.54,69679151640
263600,덕우전자,KOSDAQ,전기·전자,4930,15,0.31,78536428300
194480,데브시스터즈,KOSDAQ,IT 서비스,33500,-1050,-3.04,403445525000
373160,데이원컴퍼니,KOSDAQ,일반서비스,6700,10,0.15,91156340800
263800,데이타솔루션,KOSDAQ,유통,4505,55,1.24,73068306900
206560,덱스터,KOSDAQ,오락·문화,6500,0,0.00,165176284000
261200,덴티스,KOSDAQ,의료·정밀기기,6680,140,2.14,105608796000
067990,도이치모터스,KOSDAQ,유통,4375,5,0.11,127669281250
006620,동구바이오제약,KOSDAQ,제약,4905,135,2.83,139620785760
100130,동국S&C,KOSDAQ,금속,2075,5,0.24,118571725000
005160,동국산업,KOSDAQ,금속,4240,35,0.83,229996603680
303810,동국생명과학,KOSDAQ,제약,10160,-90,-0.88,162479431200
075970,동국알앤에스,KOSDAQ,비금속,2545,-10,-0.39,46828000000
086450,동국제약,KOSDAQ,제약,15170,30,0.20,674458200000
240550,동방메디컬,KOSDAQ,의료·정밀기기,10550,-130,-1.22,217192217000
099410,동방선기,KOSDAQ,운송장비·부품,3580,205,6.07,50120000000
033500,동성화인텍,KOSDAQ,화학,24750,950,3.99,742239976500
025950,동신건설,KOSDAQ,건설,54000,3800,7.57,453600000000
088130,동아엘텍,KOSDAQ,기계·장비,3065,15,0.49,53592487410
041930,동아화성,KOSDAQ,화학,5370,30,0.56,84846000000
060380,동양에스텍,KOSDAQ,금속,1410,18,1.29,27777000000
079960,동양이엔피,KOSDAQ,전기·전자,20400,1270,6.64,160344000000
228340,동양파일,KOSDAQ,비금속,1758,-1,-0.06,35160000000
088910,동우팜투테이블,KOSDAQ,음식료·담배,1992,-3,-0.15,51456873888
094170,동운아나텍,KOSDAQ,전기·전자,22350,200,0.90,426152098800
013120,동원개발,KOSDAQ,건설,2325,45,1.97,211128832500
109860,동일금속,KOSDAQ,금속,8170,130,1.62,74347000000
032960,동일기연,KOSDAQ,전기·전자,10320,30,0.29,41138853360
023790,동일스틸럭스,KOSDAQ,금속,1170,1,0.09,24778153530
005290,동진쎄미켐,KOSDAQ,화학,30700,2200,7.72,1578424965800
025900,동화기업,KOSDAQ,종이·목재,10060,390,4.03,508606287100
131970,두산테스나,KOSDAQ,일반서비스,30300,2650,9.58,585615311400
073190,듀오백,KOSDAQ,기타제조,2660,-1140,-30.00,31834986400
176750,듀켐바이오,KOSDAQ,제약,12300,1020,9.04,349999206000
030350,드래곤플라이,KOSDAQ,IT 서비스,1327,27,2.08,18415832638
203650,드림시큐리티,KOSDAQ,IT 서비스,3315,5,0.15,167758074510
223250,드림씨아이에스,KOSDAQ,일반서비스,2910,40,1.39,69256032840
060570,드림어스컴퍼니,KOSDAQ,오락·문화,1796,-154,-7.90,135816345108
362990,드림인사이트,KOSDAQ,일반서비스,2180,45,2.11,36625251320
016670,디모아,KOSDAQ,유통,3895,-120,-2.99,19248490170
187870,디바이스이엔지,KOSDAQ,기계·장비,11050,60,0.55,77754529450
489730,디비금융제13호스팩,KOSDAQ,금융,1990,-7,-0.35,12600680000
110990,디아이티,KOSDAQ,기계·장비,14710,910,6.59,278019000000
263690,디알젬,KOSDAQ,의료·정밀기기,5530,0,0.00,62630623300
214680,디알텍,KOSDAQ,의료·정밀기기,1984,17,0.86,146846263936
347850,디앤디파마텍,KOSDAQ,일반서비스,51400,800,1.58,543198746600
263720,디앤씨미디어,KOSDAQ,오락·문화,17690,0,0.00,221557927370
376300,디어유,KOSDAQ,IT 서비스,38600,1100,2.93,916302471600
109740,디에스케이,KOSDAQ,기계·장비,4155,205,5.19,106826670450
031860,디에이치엑스컴퍼니,KOSDAQ,유통,852,-4,-0.47,14630561892
196490,디에이테크놀로지,KOSDAQ,기계·장비,203,0,0.00,36245520080
066900,디에이피,KOSDAQ,전기·전자,1997,6,0.30,45420772491
127120,디엔에이링크,KOSDAQ,일반서비스,6100,100,1.67,140023371100
092070,디엔에프,KOSDAQ,화학,10230,430,4.39,118380107340
039840,디오,KOSDAQ,의료·정밀기기,15660,60,0.38,234614283300
219550,디와이디,KOSDAQ,유통,647,-59,-8.36,80764467814
310870,디와이씨,KOSDAQ,운송장비·부품,1515,4,0.26,31341215565
104460,디와이피엔에프,KOSDAQ,기계·장비,14710,-60,-0.41,157597423750
079810,디이엔티,KOSDAQ,기계·장비,5990,170,2.92,131948283060
113810,디젠스,KOSDAQ,운송장비·부품,1950,70,3.72,63624699450
043360,디지아이,KOSDAQ,전기·전자,1761,9,0.51,15849000000
197140,디지캡,KOSDAQ,IT 서비스,2370,-20,-0.84,30841174980
068930,디지털대성,KOSDAQ,일반서비스,7220,50,0.70,199815969240
033130,디지틀조선,KOSDAQ,IT 서비스,1706,14,0.83,63318645502
105740,디케이락,KOSDAQ,기계·장비,8270,100,1.22,84093602510
263020,디케이앤디,KOSDAQ,화학,3135,15,0.48,45456970185
290550,디케이티,KOSDAQ,전기·전자,7900,150,1.94,158009717000
066670,디티씨,KOSDAQ,전기·전자,3000,125,4.35,56075754000
187220,디티앤씨,KOSDAQ,일반서비스,3020,25,0.83,35328023420
383930,디티앤씨알오,KOSDAQ,일반서비스,6400,90,1.43,81731276800
131180,딜리,KOSDAQ,전기·전자,879,2,0.23,25798650000
315640,딥노이드,KOSDAQ,IT 서비스,6810,310,4.77,152688835080
223310,딥마인드,KOSDAQ,유통,2325,0,0.00,53101546875
317120,라닉스,KOSDAQ,전기·전자,2955,20,0.68,28545300000
